CODE POSTAL;CODE INSEE;NOM COMMUNE;CODE DEPARTEMENT;SURFACE COMMUNE (km²);POPULATION COMMUNE;coordonnees;var;Couverture;Opérateur;var2;Type Couverture;Réseau
59560;59152;COMINES;59;16.419742181;12360.19;50.7497420422, 3.01679477405;Par au moins un opérateur Couverture population 3G;1.0;Tout Opérateur ; population 3G;Population;3G
59560;59152;COMINES;59;16.419742181;12360.19;50.7497420422, 3.01679477405;Bouygues Telecom Couverture surfacique 2G;1.0;Bouygues Telecom ; surfacique 2G;Surfacique;2G
59560;59152;COMINES;59;16.419742181;12360.19;50.7497420422, 3.01679477405;Orange France Couverture population 4G;0.99;Orange France ; population 4G;Population;4G
59560;59152;COMINES;59;16.419742181;12360.19;50.7497420422, 3.01679477405;Orange France Couverture population 2G;0.99;Orange France ; population 2G;Population;2G
59163;59153;CONDE-SUR-L'ESCAUT;59;18.9154086983;9667.76;50.4678612037, 3.60589087978;SFR Couverture surfacique 2G;0.96;SFR ; surfacique 2G;Surfacique;2G
59163;59153;CONDE-SUR-L'ESCAUT;59;18.9154086983;9667.76;50.4678612037, 3.60589087978;SFR Couverture population 4G;0.0;SFR ; population 4G;Population;4G
59163;59153;CONDE-SUR-L'ESCAUT;59;18.9154086983;9667.76;50.4678612037, 3.60589087978;Orange France Couverture surfacique 4G;0.98;Orange France ; surfacique 4G;Surfacique;4G
59163;59153;CONDE-SUR-L'ESCAUT;59;18.9154086983;9667.76;50.4678612037, 3.60589087978;Par au moins un opérateur Couverture surfacique 2G;1.0;Tout Opérateur ; surfacique 2G;Surfacique;2G
59163;59153;CONDE-SUR-L'ESCAUT;59;18.9154086983;9667.76;50.4678612037, 3.60589087978;Free Mobile Couverture surfacique 4G;0.0;Free Mobile ; surfacique 4G;Surfacique;4G
59163;59153;CONDE-SUR-L'ESCAUT;59;18.9154086983;9667.76;50.4678612037, 3.60589087978;Par au moins un opérateur Couverture surfacique 3G;0.98;Tout Opérateur ; surfacique 3G;Surfacique;3G
59163;59153;CONDE-SUR-L'ESCAUT;59;18.9154086983;9667.76;50.4678612037, 3.60589087978;Bouygues Telecom Couverture surfacique 4G;0.11;Bouygues Telecom ; surfacique 4G;Surfacique;4G
59380;59154;COUDEKERQUE-VILLAGE;59;11.4161147082;1162.16;50.9945680467, 2.42167016066;Bouygues Telecom Couverture population 4G;0.33;Bouygues Telecom ; population 4G;Population;4G
59380;59154;COUDEKERQUE-VILLAGE;59;11.4161147082;1162.16;50.9945680467, 2.42167016066;SFR Couverture population 3G;1.0;SFR ; population 3G;Population;3G
59380;59154;COUDEKERQUE-VILLAGE;59;11.4161147082;1162.16;50.9945680467, 2.42167016066;Par au moins un opérateur Couverture population 4G;0.99;Tout Opérateur ; population 4G;Population;4G
59380;59154;COUDEKERQUE-VILLAGE;59;11.4161147082;1162.16;50.9945680467, 2.42167016066;Bouygues Telecom Couverture population 2G;1.0;Bouygues Telecom ; population 2G;Population;2G
59380;59154;COUDEKERQUE-VILLAGE;59;11.4161147082;1162.16;50.9945680467, 2.42167016066;SFR Couverture population 2G;1.0;SFR ; population 2G;Population;2G
59210;59155;COUDEKERQUE-BRANCHE;59;9.21125571397;22195.81;51.0179541343, 2.39580832593;Bouygues Telecom Couverture population 4G;0.99;Bouygues Telecom ; population 4G;Population;4G
59210;59155;COUDEKERQUE-BRANCHE;59;9.21125571397;22195.81;51.0179541343, 2.39580832593;Free Mobile Couverture population 2G;1.0;Free Mobile ; population 2G;Population;2G
59210;59155;COUDEKERQUE-BRANCHE;59;9.21125571397;22195.81;51.0179541343, 2.39580832593;Par au moins un opérateur Couverture surfacique 2G;1.0;Tout Opérateur ; surfacique 2G;Surfacique;2G
59210;59155;COUDEKERQUE-BRANCHE;59;9.21125571397;22195.81;51.0179541343, 2.39580832593;Free Mobile Couverture population 4G;0.38;Free Mobile ; population 4G;Population;4G
59552;59156;COURCHELETTES;59;1.72461591119;2512.34;50.3421628278, 3.05975008268;Bouygues Telecom Couverture population 3G;1.0;Bouygues Telecom ; population 3G;Population;3G
59552;59156;COURCHELETTES;59;1.72461591119;2512.34;50.3421628278, 3.05975008268;SFR Couverture surfacique 3G;1.0;SFR ; surfacique 3G;Surfacique;3G
59552;59156;COURCHELETTES;59;1.72461591119;2512.34;50.3421628278, 3.05975008268;Free Mobile Couverture surfacique 3G;1.0;Free Mobile ; surfacique 3G;Surfacique;3G
59552;59156;COURCHELETTES;59;1.72461591119;2512.34;50.3421628278, 3.05975008268;Bouygues Telecom Couverture surfacique 2G;1.0;Bouygues Telecom ; surfacique 2G;Surfacique;2G
59552;59156;COURCHELETTES;59;1.72461591119;2512.34;50.3421628278, 3.05975008268;Free Mobile Couverture population 4G;0.0;Free Mobile ; population 4G;Population;4G
59149;59157;COUSOLRE;59;21.4379991762;2395.02;50.2372536419, 4.15308223751;Bouygues Telecom Couverture population 4G;0.0;Bouygues Telecom ; population 4G;Population;4G
59149;59157;COUSOLRE;59;21.4379991762;2395.02;50.2372536419, 4.15308223751;SFR Couverture population 4G;0.0;SFR ; population 4G;Population;4G
59149;59157;COUSOLRE;59;21.4379991762;2395.02;50.2372536419, 4.15308223751;Orange France Couverture surfacique 2G;0.98;Orange France ; surfacique 2G;Surfacique;2G
59149;59157;COUSOLRE;59;21.4379991762;2395.02;50.2372536419, 4.15308223751;Bouygues Telecom Couverture surfacique 3G;0.88;Bouygues Telecom ; surfacique 3G;Surfacique;3G
59310;59158;COUTICHES;59;16.6598356084;2732.3;50.4501366141, 3.19335565357;Orange France Couverture surfacique 2G;1.0;Orange France ; surfacique 2G;Surfacique;2G
59310;59158;COUTICHES;59;16.6598356084;2732.3;50.4501366141, 3.19335565357;SFR Couverture population 3G;1.0;SFR ; population 3G;Population;3G
59310;59158;COUTICHES;59;16.6598356084;2732.3;50.4501366141, 3.19335565357;Free Mobile Couverture population 3G;1.0;Free Mobile ; population 3G;Population;3G
59310;59158;COUTICHES;59;16.6598356084;2732.3;50.4501366141, 3.19335565357;Par au moins un opérateur Couverture population 2G;1.0;Tout Opérateur ; population 2G;Population;2G
59310;59158;COUTICHES;59;16.6598356084;2732.3;50.4501366141, 3.19335565357;Par au moins un opérateur Couverture population 3G;1.0;Tout Opérateur ; population 3G;Population;3G
59310;59158;COUTICHES;59;16.6598356084;2732.3;50.4501366141, 3.19335565357;Par au moins un opérateur Couverture surfacique 4G;1.0;Tout Opérateur ; surfacique 4G;Surfacique;4G
59310;59158;COUTICHES;59;16.6598356084;2732.3;50.4501366141, 3.19335565357;Free Mobile Couverture population 4G;0.0;Free Mobile ; population 4G;Population;4G
59310;59158;COUTICHES;59;16.6598356084;2732.3;50.4501366141, 3.19335565357;Orange France Couverture population 2G;1.0;Orange France ; population 2G;Population;2G
59279;59159;CRAYWICK;59;7.2928611373;604.66;50.9726285741, 2.22142508421;SFR Couverture surfacique 2G;1.0;SFR ; surfacique 2G;Surfacique;2G
59279;59159;CRAYWICK;59;7.2928611373;604.66;50.9726285741, 2.22142508421;SFR Couverture population 4G;0.98;SFR ; population 4G;Population;4G
59279;59159;CRAYWICK;59;7.2928611373;604.66;50.9726285741, 2.22142508421;Free Mobile Couverture surfacique 4G;0.0;Free Mobile ; surfacique 4G;Surfacique;4G
59279;59159;CRAYWICK;59;7.2928611373;604.66;50.9726285741, 2.22142508421;SFR Couverture population 3G;1.0;SFR ; population 3G;Population;3G
59279;59159;CRAYWICK;59;7.2928611373;604.66;50.9726285741, 2.22142508421;SFR Couverture surfacique 3G;1.0;SFR ; surfacique 3G;Surfacique;3G
59279;59159;CRAYWICK;59;7.2928611373;604.66;50.9726285741, 2.22142508421;Orange France Couverture population 3G;1.0;Orange France ; population 3G;Population;3G
59279;59159;CRAYWICK;59;7.2928611373;604.66;50.9726285741, 2.22142508421;Bouygues Telecom Couverture surfacique 2G;1.0;Bouygues Telecom ; surfacique 2G;Surfacique;2G
59279;59159;CRAYWICK;59;7.2928611373;604.66;50.9726285741, 2.22142508421;SFR Couverture population 2G;1.0;SFR ; population 2G;Population;2G
59154;59160;CRESPIN;59;10.2625616592;4492.69;50.4217331557, 3.65237979993;Free Mobile Couverture population 3G;1.0;Free Mobile ; population 3G;Population;3G
59154;59160;CRESPIN;59;10.2625616592;4492.69;50.4217331557, 3.65237979993;Bouygues Telecom Couverture population 2G;1.0;Bouygues Telecom ; population 2G;Population;2G
59154;59160;CRESPIN;59;10.2625616592;4492.69;50.4217331557, 3.65237979993;Par au moins un opérateur Couverture population 3G;1.0;Tout Opérateur ; population 3G;Population;3G
59154;59160;CRESPIN;59;10.2625616592;4492.69;50.4217331557, 3.65237979993;Par au moins un opérateur Couverture surfacique 4G;0.99;Tout Opérateur ; surfacique 4G;Surfacique;4G
59154;59160;CRESPIN;59;10.2625616592;4492.69;50.4217331557, 3.65237979993;Bouygues Telecom Couverture surfacique 2G;1.0;Bouygues Telecom ; surfacique 2G;Surfacique;2G
59258;59161;CREVECOEUR-SUR-L'ESCAUT;59;19.8122699036;701.21;50.0727577904, 3.26867770233;SFR Couverture population 4G;0.95;SFR ; population 4G;Population;4G
59258;59161;CREVECOEUR-SUR-L'ESCAUT;59;19.8122699036;701.21;50.0727577904, 3.26867770233;Bouygues Telecom Couverture population 3G;1.0;Bouygues Telecom ; population 3G;Population;3G
59258;59161;CREVECOEUR-SUR-L'ESCAUT;59;19.8122699036;701.21;50.0727577904, 3.26867770233;Free Mobile Couverture surfacique 2G;1.0;Free Mobile ; surfacique 2G;Surfacique;2G
59258;59161;CREVECOEUR-SUR-L'ESCAUT;59;19.8122699036;701.21;50.0727577904, 3.26867770233;Par au moins un opérateur Couverture population 4G;0.95;Tout Opérateur ; population 4G;Population;4G
59258;59161;CREVECOEUR-SUR-L'ESCAUT;59;19.8122699036;701.21;50.0727577904, 3.26867770233;SFR Couverture surfacique 4G;0.35;SFR ; surfacique 4G;Surfacique;4G
59380;59162;CROCHTE;59;8.73809437157;772.89;50.9238758959, 2.39595026667;Orange France Couverture surfacique 4G;0.48;Orange France ; surfacique 4G;Surfacique;4G
59380;59162;CROCHTE;59;8.73809437157;772.89;50.9238758959, 2.39595026667;Orange France Couverture surfacique 2G;1.0;Orange France ; surfacique 2G;Surfacique;2G
59380;59162;CROCHTE;59;8.73809437157;772.89;50.9238758959, 2.39595026667;Free Mobile Couverture surfacique 2G;1.0;Free Mobile ; surfacique 2G;Surfacique;2G
59380;59162;CROCHTE;59;8.73809437157;772.89;50.9238758959, 2.39595026667;Free Mobile Couverture population 3G;1.0;Free Mobile ; population 3G;Population;3G
59380;59162;CROCHTE;59;8.73809437157;772.89;50.9238758959, 2.39595026667;Free Mobile Couverture surfacique 3G;1.0;Free Mobile ; surfacique 3G;Surfacique;3G
59380;59162;CROCHTE;59;8.73809437157;772.89;50.9238758959, 2.39595026667;Bouygues Telecom Couverture surfacique 4G;0.43;Bouygues Telecom ; surfacique 4G;Surfacique;4G
59170;59163;CROIX;59;4.36523413734;20291.18;50.6740689994, 3.15464041723;SFR Couverture surfacique 2G;1.0;SFR ; surfacique 2G;Surfacique;2G
59170;59163;CROIX;59;4.36523413734;20291.18;50.6740689994, 3.15464041723;Free Mobile Couverture population 3G;1.0;Free Mobile ; population 3G;Population;3G
59170;59163;CROIX;59;4.36523413734;20291.18;50.6740689994, 3.15464041723;Par au moins un opérateur Couverture population 2G;1.0;Tout Opérateur ; population 2G;Population;2G
59170;59163;CROIX;59;4.36523413734;20291.18;50.6740689994, 3.15464041723;Orange France Couverture surfacique 3G;1.0;Orange France ; surfacique 3G;Surfacique;3G
59170;59163;CROIX;59;4.36523413734;20291.18;50.6740689994, 3.15464041723;SFR Couverture population 2G;1.0;SFR ; population 2G;Population;2G
59170;59163;CROIX;59;4.36523413734;20291.18;50.6740689994, 3.15464041723;SFR Couverture surfacique 4G;0.0;SFR ; surfacique 4G;Surfacique;4G
59222;59164;CROIX-CALUYAU;59;3.71698620309;240.62;50.152088377, 3.58548579583;Bouygues Telecom Couverture population 4G;0.0;Bouygues Telecom ; population 4G;Population;4G
59222;59164;CROIX-CALUYAU;59;3.71698620309;240.62;50.152088377, 3.58548579583;Free Mobile Couverture population 2G;1.0;Free Mobile ; population 2G;Population;2G
59222;59164;CROIX-CALUYAU;59;3.71698620309;240.62;50.152088377, 3.58548579583;Bouygues Telecom Couverture population 3G;0.54;Bouygues Telecom ; population 3G;Population;3G
59222;59164;CROIX-CALUYAU;59;3.71698620309;240.62;50.152088377, 3.58548579583;Par au moins un opérateur Couverture surfacique 2G;1.0;Tout Opérateur ; surfacique 2G;Surfacique;2G
59222;59164;CROIX-CALUYAU;59;3.71698620309;240.62;50.152088377, 3.58548579583;Free Mobile Couverture surfacique 2G;1.0;Free Mobile ; surfacique 2G;Surfacique;2G
59222;59164;CROIX-CALUYAU;59;3.71698620309;240.62;50.152088377, 3.58548579583;SFR Couverture population 3G;1.0;SFR ; population 3G;Population;3G
59222;59164;CROIX-CALUYAU;59;3.71698620309;240.62;50.152088377, 3.58548579583;Free Mobile Couverture population 3G;1.0;Free Mobile ; population 3G;Population;3G
59222;59164;CROIX-CALUYAU;59;3.71698620309;240.62;50.152088377, 3.58548579583;Free Mobile Couverture surfacique 3G;1.0;Free Mobile ; surfacique 3G;Surfacique;3G
59222;59164;CROIX-CALUYAU;59;3.71698620309;240.62;50.152088377, 3.58548579583;Par au moins un opérateur Couverture population 3G;1.0;Tout Opérateur ; population 3G;Population;3G
59222;59164;CROIX-CALUYAU;59;3.71698620309;240.62;50.152088377, 3.58548579583;Par au moins un opérateur Couverture surfacique 4G;0.52;Tout Opérateur ; surfacique 4G;Surfacique;4G
59553;59165;CUINCY;59;7.04191466002;6785.75;50.3743818914, 3.03412629786;Orange France Couverture surfacique 2G;1.0;Orange France ; surfacique 2G;Surfacique;2G
59553;59165;CUINCY;59;7.04191466002;6785.75;50.3743818914, 3.03412629786;Free Mobile Couverture surfacique 4G;0.0;Free Mobile ; surfacique 4G;Surfacique;4G
59217;59081;BEVILLERS;59;4.51351736302;555.58;50.158314463, 3.39072994469;Bouygues Telecom Couverture surfacique 4G;1.0;Bouygues Telecom ; surfacique 4G;Surfacique;4G
59380;59082;BIERNE;59;11.4374208068;1658.16;50.9713270565, 2.40211995661;SFR Couverture population 4G;0.1;SFR ; population 4G;Population;4G
59380;59082;BIERNE;59;11.4374208068;1658.16;50.9713270565, 2.40211995661;Free Mobile Couverture population 2G;1.0;Free Mobile ; population 2G;Population;2G
59380;59082;BIERNE;59;11.4374208068;1658.16;50.9713270565, 2.40211995661;Orange France Couverture surfacique 4G;0.92;Orange France ; surfacique 4G;Surfacique;4G
59380;59082;BIERNE;59;11.4374208068;1658.16;50.9713270565, 2.40211995661;Orange France Couverture surfacique 2G;1.0;Orange France ; surfacique 2G;Surfacique;2G
59380;59082;BIERNE;59;11.4374208068;1658.16;50.9713270565, 2.40211995661;Bouygues Telecom Couverture surfacique 3G;0.99;Bouygues Telecom ; surfacique 3G;Surfacique;3G
59380;59082;BIERNE;59;11.4374208068;1658.16;50.9713270565, 2.40211995661;SFR Couverture surfacique 3G;1.0;SFR ; surfacique 3G;Surfacique;3G
59380;59082;BIERNE;59;11.4374208068;1658.16;50.9713270565, 2.40211995661;Orange France Couverture population 3G;1.0;Orange France ; population 3G;Population;3G
59380;59082;BIERNE;59;11.4374208068;1658.16;50.9713270565, 2.40211995661;Par au moins un opérateur Couverture population 4G;0.95;Tout Opérateur ; population 4G;Population;4G
59380;59082;BIERNE;59;11.4374208068;1658.16;50.9713270565, 2.40211995661;Bouygues Telecom Couverture population 2G;1.0;Bouygues Telecom ; population 2G;Population;2G
59380;59083;BISSEZEELE;59;3.15568862889;208.14;50.9131167962, 2.40661835313;Free Mobile Couverture population 2G;1.0;Free Mobile ; population 2G;Population;2G
59380;59083;BISSEZEELE;59;3.15568862889;208.14;50.9131167962, 2.40661835313;Orange France Couverture surfacique 4G;0.62;Orange France ; surfacique 4G;Surfacique;4G
59380;59083;BISSEZEELE;59;3.15568862889;208.14;50.9131167962, 2.40661835313;Orange France Couverture surfacique 2G;1.0;Orange France ; surfacique 2G;Surfacique;2G
59380;59083;BISSEZEELE;59;3.15568862889;208.14;50.9131167962, 2.40661835313;Free Mobile Couverture surfacique 2G;1.0;Free Mobile ; surfacique 2G;Surfacique;2G
59380;59083;BISSEZEELE;59;3.15568862889;208.14;50.9131167962, 2.40661835313;Free Mobile Couverture surfacique 4G;0.0;Free Mobile ; surfacique 4G;Surfacique;4G
59380;59083;BISSEZEELE;59;3.15568862889;208.14;50.9131167962, 2.40661835313;SFR Couverture population 3G;1.0;SFR ; population 3G;Population;3G
59380;59083;BISSEZEELE;59;3.15568862889;208.14;50.9131167962, 2.40661835313;SFR Couverture surfacique 3G;1.0;SFR ; surfacique 3G;Surfacique;3G
59380;59083;BISSEZEELE;59;3.15568862889;208.14;50.9131167962, 2.40661835313;Par au moins un opérateur Couverture population 2G;1.0;Tout Opérateur ; population 2G;Population;2G
59380;59083;BISSEZEELE;59;3.15568862889;208.14;50.9131167962, 2.40661835313;Bouygues Telecom Couverture population 2G;1.0;Bouygues Telecom ; population 2G;Population;2G
59380;59083;BISSEZEELE;59;3.15568862889;208.14;50.9131167962, 2.40661835313;Free Mobile Couverture surfacique 3G;1.0;Free Mobile ; surfacique 3G;Surfacique;3G
59380;59083;BISSEZEELE;59;3.15568862889;208.14;50.9131167962, 2.40661835313;Bouygues Telecom Couverture surfacique 4G;0.62;Bouygues Telecom ; surfacique 4G;Surfacique;4G
59173;59084;BLARINGHEM;59;18.6076049303;1963.46;50.6905234393, 2.409606447;Par au moins un opérateur Couverture surfacique 2G;1.0;Tout Opérateur ; surfacique 2G;Surfacique;2G
59173;59084;BLARINGHEM;59;18.6076049303;1963.46;50.6905234393, 2.409606447;Free Mobile Couverture surfacique 4G;0.0;Free Mobile ; surfacique 4G;Surfacique;4G
59173;59084;BLARINGHEM;59;18.6076049303;1963.46;50.6905234393, 2.409606447;Par au moins un opérateur Couverture population 2G;1.0;Tout Opérateur ; population 2G;Population;2G
59173;59084;BLARINGHEM;59;18.6076049303;1963.46;50.6905234393, 2.409606447;Free Mobile Couverture surfacique 3G;1.0;Free Mobile ; surfacique 3G;Surfacique;3G
59173;59084;BLARINGHEM;59;18.6076049303;1963.46;50.6905234393, 2.409606447;Par au moins un opérateur Couverture population 3G;1.0;Tout Opérateur ; population 3G;Population;3G
59268;59085;BLECOURT;59;3.73251979509;362.96;50.2175061105, 3.21286001901;Bouygues Telecom Couverture population 4G;0.02;Bouygues Telecom ; population 4G;Population;4G
59268;59085;BLECOURT;59;3.73251979509;362.96;50.2175061105, 3.21286001901;Orange France Couverture surfacique 2G;1.0;Orange France ; surfacique 2G;Surfacique;2G
59268;59085;BLECOURT;59;3.73251979509;362.96;50.2175061105, 3.21286001901;SFR Couverture population 3G;1.0;SFR ; population 3G;Population;3G
59268;59085;BLECOURT;59;3.73251979509;362.96;50.2175061105, 3.21286001901;SFR Couverture surfacique 3G;1.0;SFR ; surfacique 3G;Surfacique;3G
59299;59086;BOESCHEPE;59;13.3452965988;2015.31;50.7989980219, 2.69937041713;Bouygues Telecom Couverture population 4G;0.01;Bouygues Telecom ; population 4G;Population;4G
59299;59086;BOESCHEPE;59;13.3452965988;2015.31;50.7989980219, 2.69937041713;Orange France Couverture surfacique 2G;0.98;Orange France ; surfacique 2G;Surfacique;2G
59299;59086;BOESCHEPE;59;13.3452965988;2015.31;50.7989980219, 2.69937041713;Bouygues Telecom Couverture population 3G;1.0;Bouygues Telecom ; population 3G;Population;3G
59299;59086;BOESCHEPE;59;13.3452965988;2015.31;50.7989980219, 2.69937041713;SFR Couverture population 3G;0.99;SFR ; population 3G;Population;3G
59299;59086;BOESCHEPE;59;13.3452965988;2015.31;50.7989980219, 2.69937041713;SFR Couverture surfacique 3G;0.98;SFR ; surfacique 3G;Surfacique;3G
59299;59086;BOESCHEPE;59;13.3452965988;2015.31;50.7989980219, 2.69937041713;Free Mobile Couverture population 4G;0.0;Free Mobile ; population 4G;Population;4G
59189;59087;BOESEGHEM;59;7.04298450442;703.96;50.6691135946, 2.44242706344;SFR Couverture population 4G;0.24;SFR ; population 4G;Population;4G
59189;59087;BOESEGHEM;59;7.04298450442;703.96;50.6691135946, 2.44242706344;Orange France Couverture surfacique 4G;1.0;Orange France ; surfacique 4G;Surfacique;4G
59189;59087;BOESEGHEM;59;7.04298450442;703.96;50.6691135946, 2.44242706344;Free Mobile Couverture surfacique 2G;1.0;Free Mobile ; surfacique 2G;Surfacique;2G
59189;59087;BOESEGHEM;59;7.04298450442;703.96;50.6691135946, 2.44242706344;Free Mobile Couverture surfacique 3G;1.0;Free Mobile ; surfacique 3G;Surfacique;3G
59189;59087;BOESEGHEM;59;7.04298450442;703.96;50.6691135946, 2.44242706344;Bouygues Telecom Couverture surfacique 2G;1.0;Bouygues Telecom ; surfacique 2G;Surfacique;2G
59189;59087;BOESEGHEM;59;7.04298450442;703.96;50.6691135946, 2.44242706344;Orange France Couverture population 2G;1.0;Orange France ; population 2G;Population;2G
59189;59087;BOESEGHEM;59;7.04298450442;703.96;50.6691135946, 2.44242706344;SFR Couverture population 2G;1.0;SFR ; population 2G;Population;2G
59280;59088;BOIS-GRENIER;59;7.42074416887;1537.28;50.6487129112, 2.87274435291;SFR Couverture population 4G;0.0;SFR ; population 4G;Population;4G
59280;59088;BOIS-GRENIER;59;7.42074416887;1537.28;50.6487129112, 2.87274435291;Bouygues Telecom Couverture surfacique 3G;1.0;Bouygues Telecom ; surfacique 3G;Surfacique;3G
59280;59088;BOIS-GRENIER;59;7.42074416887;1537.28;50.6487129112, 2.87274435291;Par au moins un opérateur Couverture population 4G;0.99;Tout Opérateur ; population 4G;Population;4G
59280;59088;BOIS-GRENIER;59;7.42074416887;1537.28;50.6487129112, 2.87274435291;Par au moins un opérateur Couverture population 2G;1.0;Tout Opérateur ; population 2G;Population;2G
59280;59088;BOIS-GRENIER;59;7.42074416887;1537.28;50.6487129112, 2.87274435291;Orange France Couverture population 4G;0.99;Orange France ; population 4G;Population;4G
59280;59088;BOIS-GRENIER;59;7.42074416887;1537.28;50.6487129112, 2.87274435291;SFR Couverture surfacique 4G;0.0;SFR ; surfacique 4G;Surfacique;4G
59470;59089;BOLLEZEELE;59;17.9233943262;1406.99;50.8652273621, 2.34136933381;SFR Couverture surfacique 2G;1.0;SFR ; surfacique 2G;Surfacique;2G
59470;59089;BOLLEZEELE;59;17.9233943262;1406.99;50.8652273621, 2.34136933381;Free Mobile Couverture population 2G;1.0;Free Mobile ; population 2G;Population;2G
59470;59089;BOLLEZEELE;59;17.9233943262;1406.99;50.8652273621, 2.34136933381;Bouygues Telecom Couverture surfacique 3G;0.99;Bouygues Telecom ; surfacique 3G;Surfacique;3G
59470;59089;BOLLEZEELE;59;17.9233943262;1406.99;50.8652273621, 2.34136933381;SFR Couverture surfacique 3G;1.0;SFR ; surfacique 3G;Surfacique;3G
59470;59089;BOLLEZEELE;59;17.9233943262;1406.99;50.8652273621, 2.34136933381;Orange France Couverture population 3G;1.0;Orange France ; population 3G;Population;3G
59470;59089;BOLLEZEELE;59;17.9233943262;1406.99;50.8652273621, 2.34136933381;Par au moins un opérateur Couverture population 2G;1.0;Tout Opérateur ; population 2G;Population;2G
59470;59089;BOLLEZEELE;59;17.9233943262;1406.99;50.8652273621, 2.34136933381;Bouygues Telecom Couverture surfacique 4G;0.16;Bouygues Telecom ; surfacique 4G;Surfacique;4G
59470;59089;BOLLEZEELE;59;17.9233943262;1406.99;50.8652273621, 2.34136933381;Orange France Couverture population 2G;1.0;Orange France ; population 2G;Population;2G
59910;59090;BONDUES;59;13.0978362946;9345.63;50.7096656233, 3.09529083038;Orange France Couverture surfacique 2G;1.0;Orange France ; surfacique 2G;Surfacique;2G
59910;59090;BONDUES;59;13.0978362946;9345.63;50.7096656233, 3.09529083038;Orange France Couverture population 3G;0.99;Orange France ; population 3G;Population;3G
